fold_dir,model_id,ranking_score,paired_CA_atoms,global_Kabsch_RMSD_A
fold_208_ppargc1b_fulltail,0,0.83,3328,1.7883827446131042
fold_209_ppm1f_fulltail,0,0.83,3328,2.0274965260150366
fold_20_bhlhe23_fulltail,0,0.83,3328,1.9011480401647112
fold_210_ppp2ca_fulltail,0,0.79,3328,1.9433836177709842
fold_211_ppp4c_fulltail,0,0.79,3328,1.7718243246110792
fold_212_prkci_fulltail,0,0.82,3328,1.670910374661239
fold_213_prkcz_fulltail,0,0.82,3328,1.8652864213358558
fold_214_prkdc_fulltail,0,0.81,3328,1.7429322961874776
fold_215_prmt2_fulltail,0,0.82,3328,1.9549772629982258
fold_216_prmt3_fulltail,0,0.82,3328,1.7799168482117016
fold_217_prmt5_fulltail,0,0.82,3328,1.9017784691036947
fold_218_prop1_fulltail,0,0.84,3328,1.9080711335624883
fold_219_prpf39_fulltail,0,0.81,3328,1.7063804392460526
fold_21_brd2_fulltail,0,0.84,3328,1.8505138868029938
fold_220_rad54l2_fulltail,0,0.83,3328,1.9919872698072663
fold_221_rbsn_fulltail,0,0.83,3328,1.8150757841998872
fold_222_rela_fulltail,0,0.83,3328,1.7904140201737886
fold_223_relb_fulltail,0,0.82,3328,1.8009412043327717
fold_224_rfx7_fulltail,0,0.82,3328,1.7075584813060776
fold_225_senp3_fulltail,0,0.83,3328,1.9333655890078085
fold_226_setd1a_fulltail,0,0.83,3328,1.8945175054332455
fold_227_setd1b_fulltail,0,0.83,3328,1.9579432372359065
fold_228_setd2_fulltail,0,0.84,3328,1.9831141109441395
fold_229_smad5_fulltail,0,0.81,3328,1.767517710087294
fold_22_brd3_fulltail,0,0.84,3328,2.0907509700702573
fold_230_smarca2_fulltail,0,0.83,3328,1.7232843462644092
fold_231_smarca4_fulltail,0,0.83,3328,2.038562357793428
fold_232_smarcc1_fulltail,0,0.83,3328,1.7158493005641993
fold_233_smarcc2_fulltail,0,0.82,3328,1.6551034222140708
fold_234_sox11_fulltail,0,0.84,3328,1.7727346273641629
fold_235_sox12_fulltail,0,0.84,3328,1.9202280713796487
fold_236_sox18_fulltail,0,0.84,3328,1.9241649249145467
fold_237_sox2_fulltail,0,0.83,3328,1.7241889358398568
fold_238_sox4_fulltail,0,0.84,3328,1.9392932089042971
fold_239_sox7_fulltail,0,0.84,3328,1.8973777504625398
fold_23_brd4_fulltail,0,0.84,3328,1.9406272205219397
fold_240_sox8_fulltail,0,0.84,3328,1.864648195647667
fold_241_sox9_fulltail,0,0.84,3328,1.8666377300088859
fold_242_sp6_fulltail,0,0.83,3328,1.8609787487499891
fold_243_sp9_fulltail,0,0.84,3328,1.7732990827336492
fold_244_spi1_fulltail,0,0.83,3328,1.9505377691591947
fold_245_spic_fulltail,0,0.83,3328,1.9851140968890497
fold_246_spocd1_fulltail,0,0.84,3328,1.879576869753516
fold_247_spon2_fulltail,0,0.81,3328,1.665089484182263
fold_248_srebf1_fulltail,0,0.84,3328,2.080701039595283
fold_249_srebf2_fulltail,0,0.84,3328,1.8019720184187538
fold_24_brd7_fulltail,0,0.83,3328,1.872370881221395
fold_250_stat5a_fulltail,0,0.83,3328,1.9197308586385613
fold_251_stat5b_fulltail,0,0.82,3328,1.7335293907839524
fold_252_stat6_fulltail,0,0.84,3328,1.72042999284725
fold_253_tada2a_fulltail,0,0.83,3328,1.9016327721421404
fold_254_taf1l_fulltail,0,0.82,3328,1.7889792844296353
fold_255_taf6l_fulltail,0,0.83,3328,1.855516172316484
fold_256_tbpl2_fulltail,0,0.83,3328,1.953427495704666
fold_257_tbx22_fulltail,0,0.84,3328,1.8599575393956547
fold_258_tbx4_fulltail,0,0.84,3328,2.1243284835154617
fold_259_tdrd5_fulltail,0,0.83,3328,2.1110411682190615
fold_25_brd8_fulltail,0,0.83,3328,1.7353102957083886
fold_260_tef_fulltail,0,0.83,3328,1.947596495007262
fold_261_tet2_fulltail,0,0.84,3328,1.929018301434501
fold_262_tfap2d_fulltail,0,0.83,3328,1.9854590231295604
fold_263_tfdp1_fulltail,0,0.83,3328,1.8807043405637796
fold_264_tfe3_fulltail,0,0.83,3328,1.8858751994094232
fold_265_tfec_fulltail,0,0.83,3328,1.8503689391719762
fold_266_thrb_fulltail,0,0.84,3328,1.8191122392643486
fold_267_tigd1_fulltail,0,0.82,3328,1.915448673287616
fold_268_tle1_fulltail,0,0.79,3328,1.9504922103810025
fold_269_tle3_fulltail,0,0.79,3328,1.786794051411293
fold_26_brwd3_fulltail,0,0.82,3328,1.707369334344912
fold_270_tp53_fulltail,0,0.84,3328,1.9581092184453268
fold_271_tp63_fulltail,0,0.83,3328,1.9760144777916517
fold_272_tp73_fulltail,0,0.84,3328,1.6848303457590161
fold_273_tprx1_fulltail,0,0.83,3328,1.708650224687094
fold_274_trafd1_fulltail,0,0.83,3328,2.007287671290467
fold_275_trerf1_fulltail,0,0.84,3328,1.7885867875348758
fold_276_trrap_fulltail,0,0.81,3328,1.8445566430469826
fold_277_ubn1_fulltail,0,0.83,3328,1.7214541362781228
fold_278_usp11_fulltail,0,0.8,3328,1.693745386555857
fold_279_usp22_fulltail,0,0.83,3328,1.8195142087046339
fold_27_camta1_fulltail,0,0.83,3328,1.9253284387795087
fold_280_wdr77_fulltail,0,0.81,3328,1.934080940785158
fold_281_xbp1_fulltail,0,0.84,3328,1.7735527752313527
fold_282_yy2_fulltail,0,0.83,3328,1.9906787699137187
fold_283_zbed6_fulltail,0,0.84,3328,1.7811240213713957
fold_284_zbtb44_fulltail,0,0.84,3328,1.9452289897464472
fold_285_zfhx4_fulltail,0,0.82,3328,1.8988990056060777
fold_286_zmym3_fulltail,0,0.83,3328,1.76525731728109
fold_287_znf200_fulltail,0,0.83,3328,2.1754651285198494
fold_288_znf280d_fulltail,0,0.84,3328,2.037092810778609
fold_289_znf469_fulltail,0,0.83,3328,1.9209107142632702
fold_28_camta2_fulltail,0,0.83,3328,1.7832150691741597
fold_290_znf532_fulltail,0,0.84,3328,2.203152320351594
fold_291_znf592_fulltail,0,0.84,3328,1.839414543462583
fold_292_znf644_fulltail,0,0.83,3328,1.9770573485676177
fold_293_znf687_fulltail,0,0.84,3328,1.9067710796552597
fold_294_zscan20_fulltail,0,0.83,3328,1.980691581517564
fold_29_cdc6_fulltail,0,0.81,3328,1.749833404555392
fold_2_abraxas1_fulltail,0,0.82,3328,1.7481087649218279
fold_30_cdca4_fulltail,0,0.83,3328,1.8202169901607184
fold_31_cdk3_fulltail,0,0.78,3328,1.7503651190335114
fold_32_cdx2_fulltail,0,0.84,3328,1.9008650590706249
fold_33_cdx4_fulltail,0,0.84,3328,1.9322438526662025
fold_34_cebpa_fulltail,0,0.84,3328,1.9076770498390472
fold_35_cebpd_fulltail,0,0.83,3328,2.0422704987799802
fold_36_chd1l_fulltail,0,0.83,3328,1.8504032455400083
fold_37_chd2_fulltail,0,0.83,3328,1.970915711010808
fold_38_chd6_fulltail,0,0.82,3328,2.0456402143724857
fold_39_chd9_fulltail,0,0.83,3328,1.601473807072404
fold_3_ahr_fulltail,0,0.83,3328,1.9166220035783976
fold_40_chek2_fulltail,0,0.83,3328,2.082830430144852
fold_41_creb3_fulltail,0,0.82,3328,1.8666909462050942
fold_42_creb3l1_fulltail,0,0.83,3328,1.7308529845692715
fold_43_creb3l2_fulltail,0,0.83,3328,1.8794603630368696
fold_44_creb3l3_fulltail,0,0.84,3328,1.9253289747641837
fold_45_creb3l4_fulltail,0,0.83,3328,1.8592213873386418
fold_46_crebbp_fulltail,0,0.84,3328,1.86255115286472
fold_47_crebzf_fulltail,0,0.84,3328,1.9791564514530222
fold_48_crx_fulltail,0,0.83,3328,2.0946659343892833
fold_49_csrnp1_fulltail,0,0.83,3328,1.8165624154319848
fold_4_akap8_fulltail,0,0.84,3328,1.958771530431787
fold_50_ctc1_fulltail,0,0.83,3328,1.7344428224597572
fold_51_cxxc1_fulltail,0,0.84,3328,2.0467254154016628
fold_52_ddit3_fulltail,0,0.84,3328,2.0718328555704923
fold_53_dlx3_fulltail,0,0.83,3328,1.7282131296373
fold_54_dmrt1_fulltail,0,0.84,3328,2.081813126711916
fold_55_dux4_fulltail,0,0.83,3328,1.7437558218473022
fold_56_e2f1_fulltail,0,0.84,3328,1.7305835834635328
fold_57_e2f2_fulltail,0,0.83,3328,1.8848584633691716
fold_58_e2f3_fulltail,0,0.84,3328,1.9930510465279863
fold_59_e2f4_fulltail,0,0.84,3328,2.006292785666848
fold_5_akap8l_fulltail,0,0.84,3328,1.8169504780591346
fold_60_e2f5_fulltail,0,0.84,3328,2.0146542426954412
fold_61_ebf3_fulltail,0,0.82,3328,1.8341169343616264
fold_62_egr3_fulltail,0,0.83,3328,2.0452945845448176
fold_63_egr4_fulltail,0,0.83,3328,1.8344764110371703
fold_64_elf3_fulltail,0,0.82,3328,1.8923320125933423
fold_65_elk1_fulltail,0,0.83,3328,1.877749945356876
fold_66_elp1_fulltail,0,0.81,3328,1.9654244897392716
fold_67_ep300_fulltail,0,0.84,3328,1.7466434212259925
fold_68_ep400_fulltail,0,0.83,3328,1.9405311896540376
fold_69_erbb2_fulltail,0,0.84,3328,1.7597647475108629
fold_6_apbb1_fulltail,0,0.83,3328,1.9506748153582854
fold_70_ercc5_fulltail,0,0.82,3328,1.8409255110287266
fold_71_erg_fulltail,0,0.82,3328,1.9185545874221281
fold_72_esr1_fulltail,0,0.83,3328,2.126239355362038
fold_73_ets1_fulltail,0,0.84,3328,1.91770658383563
fold_74_ets2_fulltail,0,0.82,3328,2.045096371966094
fold_75_etv1_fulltail,0,0.83,3328,1.7859432352225932
fold_76_etv2_fulltail,0,0.84,3328,2.2164315476884164
fold_77_etv3_fulltail,0,0.84,3328,1.9587846625722822
fold_78_etv4_fulltail,0,0.83,3328,1.7526717256925455
fold_79_etv5_fulltail,0,0.84,3328,1.7864482211191637
fold_7_apbb3_fulltail,0,0.82,3328,2.0012565240121436
fold_80_exosc10_fulltail,0,0.82,3328,1.71530749680745
fold_81_eya1_fulltail,0,0.84,3328,2.144824724533055
fold_82_eya2_fulltail,0,0.83,3328,2.163720527899659
fold_83_eya3_fulltail,0,0.83,3328,1.9433911056476916
fold_84_eya4_fulltail,0,0.83,3328,1.8102398275766962
fold_85_fos_fulltail,0,0.84,3328,1.9042725757140615
fold_86_foxi1_fulltail,0,0.83,3328,1.82668478222038
fold_87_foxj1_fulltail,0,0.83,3328,2.0622845016009883
fold_88_foxj3_fulltail,0,0.83,3328,1.860973001028039
fold_89_foxm1_fulltail,0,0.83,3328,1.9094604676535982
fold_8_apobec4_fulltail,0,0.81,3328,1.963537483760493
fold_90_foxn1_fulltail,0,0.83,3328,1.8119945521809833
fold_91_foxn2_fulltail,0,0.84,3328,1.6920196036136765
fold_92_foxn4_fulltail,0,0.83,3328,1.9568572699938132
fold_93_foxo1_fulltail,0,0.84,3328,1.702340975037566
fold_94_foxo3_fulltail,0,0.84,3328,1.9269120248094644
fold_95_foxo4_fulltail,0,0.84,3328,2.1620143462438737
fold_96_foxo6_fulltail,0,0.83,3328,1.908488320351095
fold_97_foxr1_fulltail,0,0.83,3328,1.6857909759548209
fold_98_foxr2_fulltail,0,0.83,3328,1.9341036146097936
fold_99_gata6_fulltail,0,0.84,3328,1.8447703400665125
fold_9_argfx_fulltail,0,0.83,3328,1.6296307094677147
